gross_unadjusted,team_name,season
31400000,Luton Town,2023-2024
279000000,Manchester City,2024-2025
213200000,Manchester United,2024-2025
205300000,Chelsea,2024-2025
205300000,Arsenal,2024-2025
179700000,Liverpool,2024-2025
165200000,Aston Villa,2024-2025
146000000,Tottenham,2024-2025
129000000,Newcastle,2024-2025
121600000,West Ham,2024-2025
91900000,Crystal Palace,2024-2025
89400000,Everton,2024-2025
87200000,Fulham,2024-2025
81100000,Brighton,2024-2025
99600000,Wolverhampton,2024-2025
81000000,Leicester,2024-2025
74000000,Nottingham Forest,2024-2025
62500000,Southampton,2024-2025
66200000,Bournemouth,2024-2025
55700000,Brentford,2024-2025
49200000,Ipswich Town,2024-2025
309800000,Manchester City,2025-2026
208600000,Manchester United,2025-2026
188300000,Chelsea,2025-2026
233400000,Arsenal,2025-2026
218000000,Liverpool,2025-2026
181700000,Aston Villa,2025-2026
176200000,Tottenham,2025-2026
145800000,Newcastle,2025-2026
103500000,West Ham,2025-2026
99800000,Crystal Palace,2025-2026
96100000,Everton,2025-2026
98600000,Fulham,2025-2026
86300000,Brighton,2025-2026
90200000,Wolverhampton,2025-2026
72100000,Leeds,2025-2026
109100000,Nottingham Forest,2025-2026
81000000,Sunderland,2025-2026
82300000,Bournemouth,2025-2026
72600000,Brentford,2025-2026
71500000,Burnley,2025-2026
